"theme","sentiment","count"
"amistad","anger",0
"amistad","anticipation",0
"amistad","disgust",0
"amistad","fear",0
"amistad","joy",0
"amistad","sadness",0
"amistad","surprise",0
"amistad","trust",0
"amistad","negative",0
"amistad","positive",0
"amistad","anger",0
"amistad","anticipation",0
"amistad","disgust",0
"amistad","fear",0
"amistad","joy",1
"amistad","sadness",0
"amistad","surprise",0
"amistad","trust",1
"amistad","negative",0
"amistad","positive",1
"amistad","anger",0
"amistad","anticipation",1
"amistad","disgust",0
"amistad","fear",0
"amistad","joy",0
"amistad","sadness",0
"amistad","surprise",0
"amistad","trust",0
"amistad","negative",0
"amistad","positive",0
"amistad","anger",0
"amistad","anticipation",0
"amistad","disgust",0
"amistad","fear",0
"amistad","joy",0
"amistad","sadness",0
"amistad","surprise",0
"amistad","trust",0
"amistad","negative",0
"amistad","positive",0
"literatura","anger",0
"literatura","anticipation",0
"literatura","disgust",0
"literatura","fear",0
"literatura","joy",0
"literatura","sadness",0
"literatura","surprise",0
"literatura","trust",0
"literatura","negative",0
"literatura","positive",0
"literatura","anger",0
"literatura","anticipation",0
"literatura","disgust",0
"literatura","fear",0
"literatura","joy",0
"literatura","sadness",0
"literatura","surprise",0
"literatura","trust",0
"literatura","negative",0
"literatura","positive",0
"literatura","anger",0
"literatura","anticipation",0
"literatura","disgust",0
"literatura","fear",0
"literatura","joy",0
"literatura","sadness",0
"literatura","surprise",0
"literatura","trust",0
"literatura","negative",0
"literatura","positive",0
"literatura","anger",0
"literatura","anticipation",0
"literatura","disgust",0
"literatura","fear",0
"literatura","joy",0
"literatura","sadness",0
"literatura","surprise",0
"literatura","trust",0
"literatura","negative",0
"literatura","positive",0
"género","anger",0
"género","anticipation",0
"género","disgust",0
"género","fear",0
"género","joy",0
"género","sadness",0
"género","surprise",0
"género","trust",0
"género","negative",0
"género","positive",0
"género","anger",0
"género","anticipation",0
"género","disgust",0
"género","fear",0
"género","joy",0
"género","sadness",0
"género","surprise",0
"género","trust",0
"género","negative",0
"género","positive",0
"género","anger",0
"género","anticipation",0
"género","disgust",0
"género","fear",0
"género","joy",1
"género","sadness",0
"género","surprise",0
"género","trust",1
"género","negative",0
"género","positive",1
